CodDis	NomDis
1	MATAHUASI
2	NUEVO CHIMBOTE
3	IMPERIAL
4	SAN MIGUEL
5	CHILCA
6	MARANURA
7	MANCORA
8	NESHUYA
9	ICHOCAN
10	COLCABAMBA
11	JEBEROS
12	FLORIDA
13	TINYAHUARCO
14	CUSIPATA
15	PULAN
16	RICARDO PALMA
17	LA RAMADA
18	BARRANQUITA
19	LA FLORIDA
20	ALCAMENCA
21	PUTINA
22	MATUCANA
23	GUADALUPITO
24	HUAQUIRCA
25	TAUCA
26	SACANCHE
27	OXAMARCA
28	LONGAR
29	LAS PIRIAS
30	SAN FRANCISCO DE YESO
31	TAMBILLO
32	ACOPAMPA
33	VILQUE CHICO
34	SIMBAL
35	POMACANCHI
36	PAMPAS GRANDE
37	QUEROCOTO
38	GUZMANGO
39	QUILCA
40	TORIBIO CASANOVA
41	CURPAHUASI
42	CORTEGANA
43	MADEAN
44	ALTO SAPOSOA
45	TICACO
46	CHINCHIHUASI
47	PALLANCHACRA
48	QUINOCAY
49	INCLAN
50	HUAROS
51	HUACCHIS
52	VARGAS GUERRA
53	SANTO TOMAS DE PATA
54	PACAPAUSA
55	TICLLOS
56	CALLAO
57	LOS AQUIJES
58	SATIPO
59	LA ESPERANZA
60	SAN BORJA
61	LAREDO
62	OMATE
63	PARCOY
64	UCHUMAYO
65	CHOJATA
66	COLAN
67	BULDIBUYO
68	ANCHIHUAY
69	CHALLHUAHUACHO
70	COLQUIOC
71	RUMISAPA
72	NUEVO OCCORO
73	PITIPO
74	URCOS
75	BOLOGNESI
76	BERNAL
77	CAJARURO
78	QUELLOUNO
79	LAYO
80	MARIANO DAMASO BERAUN
81	SARHUA
82	HUASAHUASI
83	SAN MATEO
84	CHALLABAMBA
85	ACHOMA
86	ATAVILLOS BAJO
87	ASILLO
88	NUÑOA
89	OMIA
90	CARHUAPAMPA
91	ACCHA
92	ACZO
93	PACARAN
94	SECCLLA
95	CURGOS
96	UTICYACU
97	CHACAPAMPA
98	GREGORIO PITA
99	TINGO DE SAPOSOA
100	YANAHUAYA
101	LEVANTO
102	MAMARA
103	GRANADA
104	HUARAZ
105	SAN JUAN DE LURIGANCHO
106	SAN JUAN DE MIRAFLORES
107	SULLANA
108	YARINACOCHA
109	TAMBURCO
110	RIOJA
111	SAYAN
112	NIEVA
113	QUERECOTILLO
114	SALAS
115	SAN BARTOLO
116	CAJATAMBO
117	HUARMACA
118	CACHIMAYO
119	NUEVO IMPERIAL
120	ETEN PUERTO
121	HUANCANE
122	SALITRAL
123	TABALOSOS
124	TARATA
125	BUENOS AIRES
126	IÑAPARI
127	VITOC
128	AMANTANI
129	CATAHUASI
130	CHUSCHI
131	VALERA
132	RAHUAPAMPA
133	HUAMALI
134	SALPO
135	CAICAY
136	POROTO
137	SAN LORENZO
138	SANTA CATALINA
139	CAMINACA
140	SAMA
141	ORURILLO
142	SANTA ISABEL DE SIGUAS
143	LLAUTA
144	ONGON
145	YAMON
146	KELLUYO
147	CHACABAMBA
148	CARHUACALLANGA
149	SAN MIGUEL DE CORPANQUI
150	URPAY
151	POSIC
152	SUSAPAYA
153	HUANUHUANU
154	AZANGARO
155	PUCUSANA
156	CHIMBOTE
157	CORRALES
158	SAMUEL PASTOR
159	PARAMONGA
160	SUPE
161	ETEN
162	HUANCAN
163	OROPESA
164	SABAINO
165	PICSI
166	SECHURA
167	PUQUIO
168	HUANTA
169	PICHARI
170	AYABACA
171	CHINCHAO
172	CHINCHEROS
173	PATIVILCA
