CodPro	NomPro
1	SULLANA
2	RIOJA
3	SECHURA
4	LORETO
5	HUARAZ
6	RECUAY
7	AZANGARO
8	CHINCHEROS
9	GRAU
10	HUANTA
11	AYABACA
12	HUANCANE
13	HUACAYBAMBA
14	CAJATAMBO
15	CHUCUITO
16	MARISCAL LUZURIAGA
17	TARATA
18	TACNA
19	VILCAS HUAMAN
20	CAYLLOMA
21	CHUMBIVILCAS
22	CHACHAPOYAS
23	HUARMEY
24	DANIEL ALCIDES CARRION
25	SUCRE
26	BONGARA
27	SAN ANTONIO DE PUTINA
28	CHICLAYO
29	DATEM DEL MARAÑON
30	CASTILLA
31	LA CONVENCION
32	PARURO
33	CAMANA
34	CONCEPCION
35	SIHUAS
36	LAMPA
37	CASTROVIRREYNA
38	MARAÑON
39	CORONGO
40	LIMA
41	ABANCAY
42	HUARAL
43	HUAURA
44	PASCO
45	CHURCAMPA
46	CANCHIS
47	CONDESUYOS
48	PADRE ABAD
49	GRAN CHIMU
50	REQUENA
51	PAUCAR DEL SARA SARA
52	YUNGAY
53	OXAPAMPA
54	TAYACAJA
55	UTCUBAMBA
56	CUTERVO
57	JAUJA
58	TARMA
59	PAITA
60	HUANUCO
61	COTABAMBAS
62	CELENDIN
63	CANDARAVE
64	ASCOPE
65	AMBO
66	PARINACOCHAS
67	CARAVELI
68	TUMBES
69	CHEPEN
70	JULCAN
71	PUERTO INCA
72	HUALLAGA
73	PACHITEA
74	ATALAYA
75	HUAMANGA
76	MORROPON
77	MOYOBAMBA
78	HUANCAVELICA
79	CARABAYA
80	JAEN
81	CONTUMAZA
82	CASMA
83	SAN IGNACIO
84	SAN PABLO
85	PALPA
86	ALTO AMAZONAS
87	SAN MARCOS
88	LAMAS
89	ASUNCION
90	YAROWILCA
91	CHINCHA
92	SAN MARTIN
93	PISCO
94	CHUPACA
95	EL DORADO
96	OCROS
97	ESPINAR
98	AYMARAES
99	CANAS
100	ISLAY
101	ACOBAMBA
102	CANGALLO
103	NAZCA
104	HUARI
105	BELLAVISTA
106	EN INVESTIGACIÓN
107	TOCACHE
108	TAMBOPATA
109	HUAROCHIRI
110	TALARA
111	CAJABAMBA
112	MARISCAL RAMON CASTILLA
113	AIJA
114	CUSCO
115	ICA
116	MAYNAS
117	CAJAMARCA
118	CHOTA
119	SANCHEZ CARRION
120	TAHUAMANU
121	CALLAO
122	MARISCAL NIETO
123	SATIPO
124	EL COLLAO
125	UCAYALI
126	BOLOGNESI
127	ANGARAES
128	SAN MIGUEL
129	LAURICOCHA
130	PACASMAYO
131	CONDORCANQUI
132	SANTA
133	YUNGUYO
134	ACOMAYO
135	VIRU
136	MARISCAL CACERES
137	SANDIA
138	CARLOS FERMIN FITZCARRALD
139	AREQUIPA
140	HUANCAYO
141	MELGAR
142	SAN ROMAN
143	GENERAL SANCHEZ CERRO
144	ANTA
145	PUTUMAYO
146	PAUCARTAMBO
147	PALLASCA
148	VICTOR FAJARDO
149	ANTABAMBA
150	HUAMALIES
151	PUNO
152	URUBAMBA
153	CAÑETE
154	PICOTA
155	ANDAHUAYLAS
156	OTUZCO
157	ZARUMILLA
158	PATAZ
159	HUAYLAS
160	OYON
161	LA UNION
162	HUANCABAMBA
163	HUAYTARA
164	PURUS
165	ANTONIO RAIMONDI
166	MOHO
167	TRUJILLO
168	HUANCA SANCOS
169	LUCANAS
170	CORONEL PORTILLO
171	MANU
172	LUYA
173	SANTIAGO DE CHUCO
174	BARRANCA
175	YAULI
176	DOS DE MAYO
177	HUALGAYOC
178	CANTA
179	QUISPICANCHI
180	CALCA
181	CARHUAZ
182	LA MAR
183	SANTA CRUZ
184	RODRIGUEZ DE MENDOZA
185	POMABAMBA
186	FERREÑAFE
187	BOLIVAR
188	BAGUA
189	PIURA
190	ILO
191	CHANCHAMAYO
192	LEONCIO PRADO
193	LAMBAYEQUE
194	JUNIN
195	CONTRALMIRANTE VILLAR
196	YAUYOS
197	JORGE BASADRE
