CodTie	Ann	TriTie	MesTie	NmeTie	DiasTie	NdsTie
2020-03-06	2020	1	3	Marzo	6	Viernes
2020-03-07	2020	1	3	Marzo	7	Sábado
2020-03-08	2020	1	3	Marzo	8	Domingo
2020-03-09	2020	1	3	Marzo	9	Lunes
2020-03-10	2020	1	3	Marzo	10	Martes
2020-03-11	2020	1	3	Marzo	11	Miércoles
2020-03-12	2020	1	3	Marzo	12	Jueves
2020-03-13	2020	1	3	Marzo	13	Viernes
2020-03-14	2020	1	3	Marzo	14	Sábado
2020-03-15	2020	1	3	Marzo	15	Domingo
2020-03-16	2020	1	3	Marzo	16	Lunes
2020-03-17	2020	1	3	Marzo	17	Martes
2020-03-18	2020	1	3	Marzo	18	Miércoles
2020-03-19	2020	1	3	Marzo	19	Jueves
2020-03-20	2020	1	3	Marzo	20	Viernes
2020-03-21	2020	1	3	Marzo	21	Sábado
2020-03-22	2020	1	3	Marzo	22	Domingo
2020-03-23	2020	1	3	Marzo	23	Lunes
2020-03-24	2020	1	3	Marzo	24	Martes
2020-03-25	2020	1	3	Marzo	25	Miércoles
2020-03-26	2020	1	3	Marzo	26	Jueves
2020-03-27	2020	1	3	Marzo	27	Viernes
2020-03-28	2020	1	3	Marzo	28	Sábado
2020-03-29	2020	1	3	Marzo	29	Domingo
2020-03-30	2020	1	3	Marzo	30	Lunes
2020-03-31	2020	1	3	Marzo	31	Martes
2020-04-01	2020	2	4	Abril	1	Miércoles
2020-04-02	2020	2	4	Abril	2	Jueves
2020-04-03	2020	2	4	Abril	3	Viernes
2020-04-04	2020	2	4	Abril	4	Sábado
2020-04-05	2020	2	4	Abril	5	Domingo
2020-04-06	2020	2	4	Abril	6	Lunes
2020-04-07	2020	2	4	Abril	7	Martes
2020-04-08	2020	2	4	Abril	8	Miércoles
2020-04-09	2020	2	4	Abril	9	Jueves
2020-04-10	2020	2	4	Abril	10	Viernes
2020-04-11	2020	2	4	Abril	11	Sábado
2020-04-12	2020	2	4	Abril	12	Domingo
2020-04-13	2020	2	4	Abril	13	Lunes
2020-04-14	2020	2	4	Abril	14	Martes
2020-04-15	2020	2	4	Abril	15	Miércoles
2020-04-16	2020	2	4	Abril	16	Jueves
2020-04-17	2020	2	4	Abril	17	Viernes
2020-04-18	2020	2	4	Abril	18	Sábado
2020-04-19	2020	2	4	Abril	19	Domingo
2020-04-20	2020	2	4	Abril	20	Lunes
2020-04-21	2020	2	4	Abril	21	Martes
2020-04-22	2020	2	4	Abril	22	Miércoles
2020-04-23	2020	2	4	Abril	23	Jueves
2020-04-24	2020	2	4	Abril	24	Viernes
2020-04-25	2020	2	4	Abril	25	Sábado
2020-04-26	2020	2	4	Abril	26	Domingo
2020-04-27	2020	2	4	Abril	27	Lunes
2020-04-28	2020	2	4	Abril	28	Martes
2020-04-29	2020	2	4	Abril	29	Miércoles
2020-04-30	2020	2	4	Abril	30	Jueves
2020-05-01	2020	2	5	Mayo	1	Viernes
2020-05-02	2020	2	5	Mayo	2	Sábado
2020-05-03	2020	2	5	Mayo	3	Domingo
2020-05-04	2020	2	5	Mayo	4	Lunes
2020-05-05	2020	2	5	Mayo	5	Martes
2020-05-06	2020	2	5	Mayo	6	Miércoles
2020-05-07	2020	2	5	Mayo	7	Jueves
2020-05-08	2020	2	5	Mayo	8	Viernes
2020-05-09	2020	2	5	Mayo	9	Sábado
2020-05-10	2020	2	5	Mayo	10	Domingo
2020-05-11	2020	2	5	Mayo	11	Lunes
2020-05-12	2020	2	5	Mayo	12	Martes
2020-05-13	2020	2	5	Mayo	13	Miércoles
2020-05-14	2020	2	5	Mayo	14	Jueves
2020-05-15	2020	2	5	Mayo	15	Viernes
2020-05-16	2020	2	5	Mayo	16	Sábado
2020-05-17	2020	2	5	Mayo	17	Domingo
2020-05-18	2020	2	5	Mayo	18	Lunes
2020-05-19	2020	2	5	Mayo	19	Martes
2020-05-20	2020	2	5	Mayo	20	Miércoles
2020-05-21	2020	2	5	Mayo	21	Jueves
2020-05-22	2020	2	5	Mayo	22	Viernes
2020-05-23	2020	2	5	Mayo	23	Sábado
2020-05-24	2020	2	5	Mayo	24	Domingo
2020-05-25	2020	2	5	Mayo	25	Lunes
2020-05-26	2020	2	5	Mayo	26	Martes
2020-05-27	2020	2	5	Mayo	27	Miércoles
2020-05-28	2020	2	5	Mayo	28	Jueves
2020-05-29	2020	2	5	Mayo	29	Viernes
2020-05-30	2020	2	5	Mayo	30	Sábado
2020-05-31	2020	2	5	Mayo	31	Domingo
2020-06-01	2020	2	6	Junio	1	Lunes
2020-06-02	2020	2	6	Junio	2	Martes
2020-06-03	2020	2	6	Junio	3	Miércoles
2020-06-04	2020	2	6	Junio	4	Jueves
2020-06-05	2020	2	6	Junio	5	Viernes
2020-06-06	2020	2	6	Junio	6	Sábado
2020-06-07	2020	2	6	Junio	7	Domingo
2020-06-08	2020	2	6	Junio	8	Lunes
2020-06-09	2020	2	6	Junio	9	Martes
